iter	Passed	Remaining
0	13	13203
1	21	10968
2	28	9334
3	34	8498
4	40	8046
5	50	8326
6	58	8273
7	64	8022
8	71	7848
9	77	7659
10	83	7474
11	88	7280
12	95	7244
13	102	7250
14	108	7128
15	115	7091
16	121	7001
17	126	6896
18	132	6822
19	136	6692
20	141	6592
21	147	6544
22	151	6455
23	156	6378
24	162	6337
25	167	6262
26	171	6183
27	176	6123
28	180	6057
29	185	5989
30	190	5940
31	195	5927
32	201	5891
33	205	5840
34	210	5810
35	215	5761
36	219	5712
37	224	5674
38	228	5632
39	233	5593
40	237	5565
41	243	5557
42	248	5541
43	253	5508
44	259	5500
45	263	5469
46	268	5437
47	275	5459
48	281	5455
49	285	5430
50	291	5427
51	296	5407
52	301	5387
53	307	5384
54	312	5368
55	317	5350
56	322	5338
57	327	5321
58	332	5305
59	338	5300
60	345	5324
61	357	5409
62	362	5397
63	367	5376
64	372	5352
65	376	5327
66	380	5302
67	386	5292
68	391	5277
69	395	5255
70	400	5237
71	405	5224
72	409	5205
73	414	5184
74	418	5167
75	423	5147
76	427	5128
77	432	5111
78	437	5102
79	442	5093
80	447	5075
81	452	5066
82	457	5050
83	461	5031
84	465	5015
85	470	4999
86	474	4983
87	479	4967
88	484	4964
89	489	4952
90	494	4937
91	499	4924
92	503	4913
93	508	4897
94	512	4884
95	517	4877
96	524	4878
97	530	4880
98	535	4877
99	542	4885
100	548	4877
101	553	4868
102	557	4855
103	562	4842
104	567	4836
105	571	4821
106	576	4809
107	581	4804
108	586	4792
109	590	4779
110	595	4772
111	601	4765
112	605	4753
113	610	4741
114	615	4739
115	620	4729
116	625	4718
117	630	4713
118	635	4703
119	639	4691
120	644	4682
121	650	4680
122	655	4672
123	659	4662
124	664	4654
125	669	4642
126	673	4630
127	678	4625
128	683	4614
129	687	4603
130	692	4595
131	697	4586
132	701	4575
133	706	4564
134	711	4560
135	716	4550
136	720	4539
137	725	4533
138	733	4546
139	742	4559
140	749	4564
141	753	4555
142	759	4550
143	763	4540
144	768	4530
145	773	4521
146	778	4516
147	782	4506
148	787	4496
149	793	4494
150	797	4484
151	802	4475
152	807	4469
153	811	4459
154	816	4449
155	820	4438
156	826	4437
157	830	4428
158	835	4418
159	840	4414
160	846	4411
161	851	4402
162	856	4397
163	861	4389
164	865	4380
165	870	4371
166	875	4367
167	880	4358
168	884	4348
169	889	4344
170	894	4335
171	898	4325
172	903	4317
173	908	4311
174	912	4302
175	917	4294
176	922	4289
177	927	4281
178	931	4272
179	936	4268
180	942	4263
181	946	4255
182	951	4247
183	957	4244
184	962	4238
185	966	4230
186	972	4227
187	976	4218
188	981	4210
189	986	4206
190	991	4198
191	995	4190
192	1000	4184
193	1005	4178
194	1010	4169
195	1014	4161
196	1019	4156
197	1024	4148
198	1028	4139
199	1033	4135
200	1039	4133
201	1045	4128
202	1051	4126
203	1058	4130
204	1063	4125
205	1073	4139
206	1085	4158
207	1092	4159
208	1098	4156
209	1103	4152
210	1108	4145
211	1113	4138
212	1120	4140
213	1131	4154
214	1137	4152
215	1142	4145
216	1146	4138
217	1152	4134
218	1157	4127
219	1161	4119
220	1167	4115
221	1171	4106
222	1176	4098
223	1181	4094
224	1186	4086
225	1190	4077
226	1195	4071
227	1200	4065
228	1205	4057
229	1209	4049
230	1215	4045
231	1219	4038
232	1224	4030
233	1231	4030
234	1235	4023
235	1240	4016
236	1246	4013
237	1252	4010
238	1257	4004
239	1263	4001
240	1268	3995
241	1273	3988
242	1279	3986
243	1284	3979
244	1289	3972
245	1294	3969
246	1299	3961
247	1304	3954
248	1309	3949
249	1314	3943
250	1318	3935
251	1323	3927
252	1328	3922
253	1333	3915
254	1337	3907
255	1342	3902
256	1347	3895
257	1351	3887
258	1356	3880
259	1362	3878
260	1367	3873
261	1372	3865
262	1377	3860
263	1382	3854
264	1387	3847
265	1392	3842
266	1396	3835
267	1401	3827
268	1405	3820
269	1411	3815
270	1415	3807
271	1419	3800
272	1425	3795
273	1430	3789
274	1434	3781
275	1439	3776
276	1444	3769
277	1448	3762
278	1453	3755
279	1461	3758
280	1488	3807
281	1491	3798
282	1497	3794
283	1504	3794
284	1510	3790
285	1516	3786
286	1523	3786
287	1530	3784
288	1537	3782
289	1543	3779
290	1549	3776
291	1556	3774
292	1563	3773
293	1569	3768
294	1575	3764
295	1579	3757
296	1585	3752
297	1590	3746
298	1595	3740
299	1600	3734
300	1606	3731
301	1611	3724
302	1617	3720
303	1623	3716
304	1628	3710
305	1633	3703
306	1638	3697
307	1642	3690
308	1647	3683
309	1652	3678
310	1657	3672
311	1662	3665
312	1668	3661
313	1672	3654
314	1676	3646
315	1681	3640
316	1686	3634
317	1691	3626
318	1695	3619
319	1700	3614
320	1705	3607
321	1709	3600
322	1714	3594
323	1719	3587
324	1724	3580
325	1728	3573
326	1733	3568
327	1738	3561
328	1742	3554
329	1747	3548
330	1752	3542
331	1757	3535
332	1761	3529
333	1767	3524
334	1773	3519
335	1777	3513
336	1782	3507
337	1787	3500
338	1791	3493
339	1797	3489
340	1802	3483
341	1806	3476
342	1811	3469
343	1816	3464
344	1821	3457
345	1825	3450
346	1830	3444
347	1834	3437
348	1839	3430
349	1844	3425
350	1849	3419
351	1853	3412
352	1858	3405
353	1868	3408
354	1876	3408
355	1882	3404
356	1886	3398
357	1891	3391
358	1896	3386
359	1901	3379
360	1905	3373
361	1912	3370
362	1917	3365
363	1922	3358
364	1927	3353
365	1932	3347
366	1936	3340
367	1941	3334
368	1946	3329
369	1951	3322
370	1955	3316
371	1961	3310
372	1966	3305
373	1971	3299
374	1976	3294
375	1981	3287
376	1985	3281
377	1990	3275
378	1995	3269
379	2000	3263
380	2004	3256
381	2010	3252
382	2014	3245
383	2019	3239
384	2024	3234
385	2029	3227
386	2034	3222
387	2039	3216
388	2044	3210
389	2048	3204
390	2052	3197
391	2058	3192
392	2062	3186
393	2067	3179
394	2072	3174
395	2078	3170
396	2083	3164
397	2088	3158
398	2093	3153
399	2097	3146
400	2102	3140
401	2108	3135
402	2112	3129
